rep,id,p1,p2,alpha1,alpha2
7,32,3.10228,1,0.5,-0.3
8,32,3.10312,1,0.5,-0.3
9,32,3.10271,1,0.5,-0.3
10,32,3.10061,1,0.5,-0.3
1,33,2.53631,1,0.5,-0.3
2,33,2.53756,1,0.5,-0.3
3,33,2.53568,1,0.5,-0.3
4,33,2.53594,1,0.5,-0.3
5,33,2.53594,1,0.5,-0.3
6,33,2.53684,1,0.5,-0.3
7,33,2.53843,1,0.5,-0.3
8,33,2.53727,1,0.5,-0.3
9,33,2.53511,1,0.5,-0.3
10,33,2.53781,1,0.5,-0.3
1,34,2.02937,1,0.5,-0.3
2,34,2.02937,1,0.5,-0.3
3,34,2.02843,1,0.5,-0.3
4,34,2.02973,1,0.5,-0.3
5,34,2.03096,1,0.5,-0.3
6,34,2.03163,1,0.5,-0.3
7,34,2.02932,1,0.5,-0.3
8,34,2.02859,1,0.5,-0.3
9,34,2.02945,1,0.5,-0.3
10,34,2.03076,1,0.5,-0.3
1,35,4.26489,1,0.5,-0.3
2,35,4.26508,1,0.5,-0.3
3,35,4.26598,1,0.5,-0.3
4,35,4.26687,1,0.5,-0.3
5,35,4.26572,1,0.5,-0.3
6,35,4.26778,1,0.5,-0.3
7,35,4.26784,1,0.5,-0.3
8,35,4.27036,1,0.5,-0.3
9,35,4.27121,1,0.5,-0.3
10,35,4.26785,1,0.5,-0.3
1,36,2.56826,1,0.5,-0.3
2,36,2.56606,1,0.5,-0.3
3,36,2.56606,1,0.5,-0.3
4,36,2.56731,1,0.5,-0.3
5,36,2.5669,1,0.5,-0.3
6,36,2.56746,1,0.5,-0.3
7,36,2.56749,1,0.5,-0.3
8,36,2.56739,1,0.5,-0.3
9,36,2.56634,1,0.5,-0.3
10,36,2.57102,1,0.5,-0.3
1,37,2.52196,1,0.5,-0.3
2,37,2.52142,1,0.5,-0.3
3,37,2.52138,1,0.5,-0.3
4,37,2.52097,1,0.5,-0.3
5,37,2.51837,1,0.5,-0.3
6,37,2.52051,1,0.5,-0.3
7,37,2.52095,1,0.5,-0.3
8,37,2.52134,1,0.5,-0.3
9,37,2.52038,1,0.5,-0.3
10,37,2.52038,1,0.5,-0.3
1,38,3.68278,1,0.5,-0.3
2,38,3.68017,1,0.5,-0.3
3,38,3.68147,1,0.5,-0.3
4,38,3.68282,1,0.5,-0.3
5,38,3.68134,1,0.5,-0.3
6,38,3.6816,1,0.5,-0.3
7,38,3.68156,1,0.5,-0.3
8,38,3.67974,1,0.5,-0.3
9,38,3.68248,1,0.5,-0.3
10,38,3.68278,1,0.5,-0.3
1,39,3.75071,1,0.5,-0.3
2,39,3.75214,1,0.5,-0.3
3,39,3.74969,1,0.5,-0.3
4,39,3.75005,1,0.5,-0.3
5,39,3.74852,1,0.5,-0.3
6,39,3.75175,1,0.5,-0.3
7,39,3.74963,1,0.5,-0.3
8,39,3.75189,1,0.5,-0.3
9,39,3.74921,1,0.5,-0.3
10,39,3.74957,1,0.5,-0.3
1,40,2.69787,1,0.5,-0.3
2,40,2.69846,1,0.5,-0.3
3,40,2.69424,1,0.5,-0.3
4,40,2.70004,1,0.5,-0.3
5,40,2.69532,1,0.5,-0.3
