rep,id,eta_p1,eta_p2,eta_alpha1,eta_alpha2
8,40,-0.303859,0,0,0
9,40,-0.305442,0,0,0
10,40,-0.300803,0,0,0
1,41,0.832243,0,0,0
2,41,0.830751,0,0,0
3,41,0.832022,0,0,0
4,41,0.831512,0,0,0
5,41,0.831416,0,0,0
6,41,0.829562,0,0,0
7,41,0.827754,0,0,0
8,41,0.832425,0,0,0
9,41,0.828677,0,0,0
10,41,0.830162,0,0,0
1,42,0.028998,0,0,0
2,42,0.0279443,0,0,0
3,42,0.0296287,0,0,0
4,42,0.0285637,0,0,0
5,42,0.026905,0,0,0
6,42,0.0299439,0,0,0
7,42,0.0271595,0,0,0
8,42,0.0253819,0,0,0
9,42,0.0305894,0,0,0
10,42,0.0273891,0,0,0
1,43,-0.254697,0,0,0
2,43,-0.25694,0,0,0
3,43,-0.258987,0,0,0
4,43,-0.253741,0,0,0
5,43,-0.255232,0,0,0
6,43,-0.257846,0,0,0
7,43,-0.258025,0,0,0
8,43,-0.258025,0,0,0
9,43,-0.255479,0,0,0
10,43,-0.258689,0,0,0
1,44,0.00402266,0,0,0
2,44,0.00540444,0,0,0
3,44,0.00421043,0,0,0
4,44,0.00129295,0,0,0
5,44,0.00132935,0,0,0
6,44,0.00281261,0,0,0
7,44,0.00241197,0,0,0
8,44,0.00408287,0,0,0
9,44,0.00307094,0,0,0
10,44,0.00205622,0,0,0
1,45,0.669953,0,0,0
2,45,0.668494,0,0,0
3,45,0.668494,0,0,0
4,45,0.66682,0,0,0
5,45,0.666668,0,0,0
6,45,0.666482,0,0,0
7,45,0.668065,0,0,0
8,45,0.669506,0,0,0
9,45,0.667077,0,0,0
10,45,0.665373,0,0,0
1,46,-0.666095,0,0,0
2,46,-0.666626,0,0,0
3,46,-0.667226,0,0,0
4,46,-0.663915,0,0,0
5,46,-0.6633,0,0,0
6,46,-0.666878,0,0,0
7,46,-0.667083,0,0,0
8,46,-0.668294,0,0,0
9,46,-0.664681,0,0,0
10,46,-0.665877,0,0,0
1,47,-1.06621,0,0,0
2,47,-1.06836,0,0,0
3,47,-1.06705,0,0,0
4,47,-1.06484,0,0,0
5,47,-1.06605,0,0,0
6,47,-1.06639,0,0,0
7,47,-1.06639,0,0,0
8,47,-1.06639,0,0,0
9,47,-1.06679,0,0,0
10,47,-1.06844,0,0,0
1,48,-0.232057,0,0,0
2,48,-0.226752,0,0,0
3,48,-0.22938,0,0,0
4,48,-0.227669,0,0,0
5,48,-0.227274,0,0,0
6,48,-0.225299,0,0,0
7,48,-0.229334,0,0,0
8,48,-0.228769,0,0,0
9,48,-0.22604,0,0,0
10,48,-0.22486,0,0,0
1,49,-0.144201,0,0,0
2,49,-0.146683,0,0,0
3,49,-0.145173,0,0,0
4,49,-0.145827,0,0,0
5,49,-0.14559,0,0,0
6,49,-0.149109,0,0,0
7,49,-0.148285,0,0,0
8,49,-0.145166,0,0,0
9,49,-0.146405,0,0,0
10,49,-0.14531,0,0,0
1,50,0.863781,0,0,0
2,50,0.861644,0,0,0
3,50,0.86516,0,0,0
4,50,0.863834,0,0,0
5,50,0.863862,0,0,0
6,50,0.863373,0,0,0
7,50,0.861558,0,0,0
8,50,0.86318,0,0,0
9,50,0.864094,0,0,0
10,50,0.86132,0,0,0
