id,delta_S_SAEM,phi_S_SAEM,delta_AB_SAEM,alpha_11_SAEM,alpha_12_SAEM,alpha_13_SAEM,alpha_14_SAEM,alpha_15_SAEM,delta_S_mean,phi_S_mean,delta_AB_mean,alpha_11_mean,alpha_12_mean,alpha_13_mean,alpha_14_mean,alpha_15_mean,delta_S_sd,phi_S_sd,delta_AB_sd,alpha_11_sd,alpha_12_sd,alpha_13_sd,alpha_14_sd,alpha_15_sd
46,0.242166,1268.37,0.0208943,0.101497,0,0,0,0,0.237928,1198.67,0.020584,0.101409,0,0,0,0,0.0133121,226.908,0.0011124,0,0,0,0,0
47,0.243312,466.326,0.0172199,0.101497,0,0,0,0,0.243603,453.818,0.0171364,0.101409,0,0,0,0,0.015016,98.2045,0.00109466,0,0,0,0,0
48,0.242678,574.418,0.0233308,0.101497,0,0,0,0,0.236344,559.208,0.0232717,0.101409,0,0,0,0,0.0124921,89.8258,0.000851106,0,0,0,0,0
49,0.240222,624.575,0.0224143,0.101497,0,0,0,0,0.238497,639.675,0.0225337,0.101409,0,0,0,0,0.01191,128.454,0.00100898,0,0,0,0,0
50,0.239864,772.156,0.0346293,0.101497,0,0,0,0,0.235256,767.973,0.0346561,0.101409,0,0,0,0,0.012844,152.544,0.00105324,0,0,0,0,0
51,0.236279,1280.54,0.028256,0.101497,0,0,0,0,0.236783,1273.29,0.0280251,0.101409,0,0,0,0,0.0126702,227.002,0.00103434,0,0,0,0,0
52,0.240565,1164.11,0.0258137,0.101497,0,0,0,0,0.241729,1105.11,0.0255206,0.101409,0,0,0,0,0.0130454,186.3,0.00102066,0,0,0,0,0
53,0.240154,1588.1,0.0232474,0.101497,0,0,0,0,0.243638,1578.06,0.0229617,0.101409,0,0,0,0,0.0128703,267.322,0.000995723,0,0,0,0,0
54,0.244839,448.106,0.029083,0.101497,0,0,0,0,0.241009,427.629,0.0290337,0.101409,0,0,0,0,0.0130494,81.0878,0.000937586,0,0,0,0,0
55,0.248197,627.128,0.0316437,0.101497,0,0,0,0,0.245199,652.492,0.0318773,0.101409,0,0,0,0,0.0120976,116.313,0.00106829,0,0,0,0,0
56,0.240512,1871.79,0.0196585,0.101497,0,0,0,0,0.237345,1758.38,0.0194635,0.101409,0,0,0,0,0.0139214,342.127,0.000978506,0,0,0,0,0
57,0.243212,454.569,0.0295862,0.101497,0,0,0,0,0.244285,497.011,0.0299427,0.101409,0,0,0,0,0.0177544,102.221,0.00104279,0,0,0,0,0
58,0.243042,796.721,0.0552394,0.101497,0,0,0,0,0.242504,807.565,0.0553317,0.101409,0,0,0,0,0.0117708,116.013,0.000825175,0,0,0,0,0
59,0.240735,622.725,0.0280873,0.101497,0,0,0,0,0.238499,625.192,0.0281772,0.101409,0,0,0,0,0.0159235,127.963,0.0012242,0,0,0,0,0
60,0.237103,329.704,0.0167188,0.101497,0,0,0,0,0.235181,306.908,0.0164152,0.101409,0,0,0,0,0.0134391,51.5777,0.000890683,0,0,0,0,0
61,0.232525,1444.81,0.0201679,0.101497,0,0,0,0,0.232936,1603,0.0208218,0.101409,0,0,0,0,0.0130632,343.131,0.00107688,0,0,0,0,0
62,0.245299,610.729,0.0227772,0.101497,0,0,0,0,0.242893,626.535,0.0229815,0.101409,0,0,0,0,0.0149582,106.012,0.00101568,0,0,0,0,0
63,0.238519,2460.13,0.032636,0.101497,0,0,0,0,0.239177,2510.51,0.0329205,0.101409,0,0,0,0,0.0142674,406.523,0.00105658,0,0,0,0,0
64,0.240088,712.924,0.0191389,0.101497,0,0,0,0,0.243655,707.509,0.0189065,0.101409,0,0,0,0,0.0126181,111.875,0.000911078,0,0,0,0,0
65,0.238425,610.153,0.0263954,0.101497,0,0,0,0,0.241234,603.62,0.0263554,0.101409,0,0,0,0,0.0144677,108.07,0.00098838,0,0,0,0,0
66,0.244361,402.355,0.0238499,0.101497,0,0,0,0,0.245731,409.091,0.0239868,0.101409,0,0,0,0,0.0126359,72.5376,0.000912188,0,0,0,0,0
67,0.241968,584.264,0.0167859,0.101497,0,0,0,0,0.242977,579.045,0.0168366,0.101409,0,0,0,0,0.0152086,118.154,0.00111841,0,0,0,0,0
68,0.239836,500.633,0.0219886,0.101497,0,0,0,0,0.239029,539.788,0.0223319,0.101409,0,0,0,0,0.0155581,99.9841,0.000938004,0,0,0,0,0
69,0.241223,574.328,0.0351248,0.101497,0,0,0,0,0.242239,553.243,0.0349249,0.101409,0,0,0,0,0.0134349,99.2927,0.00117479,0,0,0,0,0
70,0.236968,1887.96,0.0261074,0.101497,0,0,0,0,0.237803,1864.53,0.0260924,0.101409,0,0,0,0,0.0144123,279.849,0.000895671,0,0,0,0,0
71,0.242413,389.203,0.030512,0.101497,0,0,0,0,0.239947,388.266,0.0306088,0.101409,0,0,0,0,0.0149602,74.2374,0.00116795,0,0,0,0,0
72,0.234515,625.954,0.0252244,0.101497,0,0,0,0,0.24214,701.822,0.0256501,0.101409,0,0,0,0,0.0138382,118.147,0.00106556,0,0,0,0,0
73,0.246574,681.28,0.0343455,0.101497,0,0,0,0,0.248797,752.753,0.0347839,0.101409,0,0,0,0,0.0121085,141.01,0.00109418,0,0,0,0,0
74,0.242418,784.967,0.0207844,0.101497,0,0,0,0,0.244311,737.446,0.0202997,0.101409,0,0,0,0,0.0170245,128.941,0.0009732,0,0,0,0,0
75,0.240664,290.018,0.0204222,0.101497,0,0,0,0,0.242964,260.696,0.0198087,0.101409,0,0,0,0,0.0144576,51.65,0.00111541,0,0,0,0,0
76,0.240641,321.67,0.0289746,0.101497,0,0,0,0,0.239432,316.71,0.0289058,0.101409,0,0,0,0,0.0153751,56.8547,0.000985414,0,0,0,0,0
77,0.243773,276.141,0.0246383,0.101497,0,0,0,0,0.243848,270.402,0.0245344,0.101409,0,0,0,0,0.0155445,51.0348,0.000978273,0,0,0,0,0
78,0.237924,1128.96,0.0287774,0.101497,0,0,0,0,0.237786,1192.18,0.0291369,0.101409,0,0,0,0,0.0143408,229.062,0.00104357,0,0,0,0,0
79,0.247213,708.647,0.033958,0.101497,0,0,0,0,0.242563,702.7,0.0339807,0.101409,0,0,0,0,0.0135321,143.119,0.000967843,0,0,0,0,0
80,0.242287,476.308,0.0270302,0.101497,0,0,0,0,0.242859,479.414,0.0270511,0.101409,0,0,0,0,0.0123014,110.961,0.0010982,0,0,0,0,0
81,0.24041,691.324,0.0159279,0.101497,0,0,0,0,0.235645,667.407,0.0158693,0.101409,0,0,0,0,0.0148687,120.325,0.00098962,0,0,0,0,0
82,0.240213,598.003,0.0293944,0.101497,0,0,0,0,0.240718,602.688,0.0292946,0.101409,0,0,0,0,0.0139339,110.573,0.000896485,0,0,0,0,0
83,0.240465,243.409,0.0423524,0.101497,0,0,0,0,0.242685,241.232,0.0420904,0.101409,0,0,0,0,0.0160166,53.867,0.00120505,0,0,0,0,0
