id,eta_delta_S_SAEM,eta_phi_S_SAEM,eta_delta_AB_SAEM,eta_alpha_11_SAEM,eta_alpha_12_SAEM,eta_alpha_13_SAEM,eta_alpha_14_SAEM,eta_alpha_15_SAEM,eta_delta_S_mean,eta_phi_S_mean,eta_delta_AB_mean,eta_alpha_11_mean,eta_alpha_12_mean,eta_alpha_13_mean,eta_alpha_14_mean,eta_alpha_15_mean,eta_delta_S_sd,eta_phi_S_sd,eta_delta_AB_sd,eta_alpha_11_sd,eta_alpha_12_sd,eta_alpha_13_sd,eta_alpha_14_sd,eta_alpha_15_sd
59,-0.00248547,0.060845,0.121524,0,0,0,0,0,-0.010236,0.0586724,0.124071,0,0,0,0,0,0.065651,0.200406,0.0431134,0,0,0,0,0
60,-0.0173778,-0.577841,-0.398294,0,0,0,0,0,-0.0236891,-0.646574,-0.416788,0,0,0,0,0,0.0568293,0.167174,0.0546521,0,0,0,0,0
61,-0.037006,0.902345,-0.210523,0,0,0,0,0,-0.0332128,0.999111,-0.178844,0,0,0,0,0,0.0556337,0.204257,0.0517116,0,0,0,0,0
62,0.0165781,0.0378545,-0.0885805,0,0,0,0,0,0.00830807,0.0666025,-0.0797996,0,0,0,0,0,0.061434,0.171022,0.0442981,0,0,0,0,0
63,-0.0115711,1.43055,0.271717,0,0,0,0,0,-0.00699887,1.45629,0.280069,0,0,0,0,0,0.0596784,0.159582,0.0321455,0,0,0,0,0
64,-0.00498824,0.195876,-0.262829,0,0,0,0,0,0.0119833,0.190486,-0.275173,0,0,0,0,0,0.052016,0.154942,0.0483739,0,0,0,0,0
65,-0.0122285,0.0357721,0.0591888,0,0,0,0,0,0.00155126,0.0278238,0.0574662,0,0,0,0,0,0.0598765,0.178793,0.0372765,0,0,0,0,0
66,0.012587,-0.376992,-0.0423897,0,0,0,0,0,0.0204937,-0.35914,-0.0367243,0,0,0,0,0,0.0514338,0.162611,0.0379057,0,0,0,0,0
67,0.00316367,-0.00669431,-0.394881,0,0,0,0,0,0.0085827,-0.0175479,-0.392131,0,0,0,0,0,0.0626694,0.197454,0.0657837,0,0,0,0,0
68,-0.00608066,-0.155849,-0.1235,0,0,0,0,0,-0.0079733,-0.0847866,-0.108376,0,0,0,0,0,0.0655359,0.183709,0.0421084,0,0,0,0,0
69,-0.000339618,-0.0211307,0.345274,0,0,0,0,0,0.005919,-0.0597818,0.339124,0,0,0,0,0,0.056748,0.182564,0.0336322,0,0,0,0,0
70,-0.0181969,1.17193,0.0483455,0,0,0,0,0,-0.0128282,1.16018,0.047543,0,0,0,0,0,0.0609506,0.152246,0.0344326,0,0,0,0,0
71,0.00427847,-0.417006,0.20423,0,0,0,0,0,-0.00393793,-0.415123,0.207052,0,0,0,0,0,0.0621115,0.186919,0.0380458,0,0,0,0,0
72,-0.0283991,0.0635352,0.0138494,0,0,0,0,0,0.00546137,0.179449,0.0301689,0,0,0,0,0,0.0571005,0.177262,0.0417909,0,0,0,0,0
73,0.0217617,0.151698,0.322976,0,0,0,0,0,0.0330244,0.247139,0.335153,0,0,0,0,0,0.0488006,0.187112,0.031338,0,0,0,0,0
74,0.00454593,0.290062,-0.180349,0,0,0,0,0,0.0136582,0.227819,-0.204087,0,0,0,0,0,0.0683019,0.183367,0.0489712,0,0,0,0,0
75,-0.00268387,-0.705453,-0.197624,0,0,0,0,0,0.00874199,-0.814941,-0.228989,0,0,0,0,0,0.0589823,0.195558,0.056794,0,0,0,0,0
76,-0.00312606,-0.604895,0.152626,0,0,0,0,0,-0.00622368,-0.618391,0.149945,0,0,0,0,0,0.0644179,0.18949,0.0343984,0,0,0,0,0
77,0.0105427,-0.760723,-0.0097343,0,0,0,0,0,0.012122,-0.777886,-0.0142349,0,0,0,0,0,0.0629865,0.196229,0.0402145,0,0,0,0,0
78,-0.0140673,0.655484,0.145754,0,0,0,0,0,-0.0129188,0.706239,0.157861,0,0,0,0,0,0.0614952,0.19023,0.0355683,0,0,0,0,0
79,0.0243577,0.191043,0.311518,0,0,0,0,0,0.00729346,0.175356,0.311878,0,0,0,0,0,0.0555513,0.202243,0.0284781,0,0,0,0,0
80,0.00388338,-0.211855,0.0831555,0,0,0,0,0,0.00876696,-0.213144,0.083395,0,0,0,0,0,0.0508645,0.231029,0.0405497,0,0,0,0,0
81,-0.00366707,0.166545,-0.44695,0,0,0,0,0,-0.0220702,0.128294,-0.451074,0,0,0,0,0,0.0626733,0.178258,0.0625281,0,0,0,0,0
82,-0.00427523,0.0195052,0.166952,0,0,0,0,0,-0.000455924,0.0257029,0.163427,0,0,0,0,0,0.0574835,0.181471,0.0305235,0,0,0,0,0
83,-0.00307722,-0.881434,0.532525,0,0,0,0,0,0.00718277,-0.897561,0.525898,0,0,0,0,0,0.0656116,0.21983,0.0287499,0,0,0,0,0
84,-0.00844508,0.457206,0.0578136,0,0,0,0,0,-0.0113488,0.454988,0.0615909,0,0,0,0,0,0.0624657,0.169649,0.0408561,0,0,0,0,0
85,0.00937207,-0.444856,0.517774,0,0,0,0,0,0.00874281,-0.360891,0.525927,0,0,0,0,0,0.0492187,0.177387,0.024159,0,0,0,0,0
86,0.000856532,-0.751621,-0.204291,0,0,0,0,0,0.02111,-0.708638,-0.203156,0,0,0,0,0,0.0582592,0.206336,0.0571733,0,0,0,0,0
87,-0.00187643,0.927899,0.038697,0,0,0,0,0,-0.00567271,0.956163,0.0490439,0,0,0,0,0,0.0568883,0.204936,0.0496142,0,0,0,0,0
88,0.00862503,0.481253,-0.524287,0,0,0,0,0,0.00580512,0.494136,-0.52271,0,0,0,0,0,0.0605267,0.185552,0.0690944,0,0,0,0,0
89,0.00227334,-0.340742,-0.474359,0,0,0,0,0,-0.0017139,-0.308621,-0.455199,0,0,0,0,0,0.0548232,0.217032,0.0628257,0,0,0,0,0
90,0.00292272,-0.380848,0.0537705,0,0,0,0,0,0.00682074,-0.384422,0.0527411,0,0,0,0,0,0.0448932,0.160392,0.0312767,0,0,0,0,0
